V,t
0.761088527115,5.73
0.793477641844,5.74
0.825542865425,5.75
0.857287436771,5.76
0.888714562403,5.77
0.919827416779,5.78
0.950629142612,5.79
0.981122851185,5.8
1.01131162267,5.81
1.04119850645,5.82
1.07078652138,5.83
1.10007865617,5.84
1.12907786961,5.85
1.15778709091,5.86
1.18620922,5.87
1.2143471278,5.88
1.24220365652,5.89
1.26978161996,5.9
1.29708380376,5.91
1.32411296572,5.92
1.35087183606,5.93
1.3773631177,5.94
1.40358948653,5.95
1.42955359166,5.96
1.45525805574,5.97
1.48070547519,5.98
1.50589842044,5.99
1.53083943623,6.0
1.55553104187,6.01
1.57997573145,6.02
1.60417597414,6.03
1.62813421439,6.04
1.65185287225,6.05
1.67533434353,6.06
1.69858100009,6.07
1.72159519009,6.08
1.74437923819,6.09
1.76693544581,6.1
1.78926609135,6.11
1.81137343044,6.12
1.83325969613,6.13
1.85492709917,6.14
1.87637782818,6.15
1.8976140499,6.16
1.9186379094,6.17
1.9394515303,6.18
1.960057015,6.19
1.98045644485,6.2
2.0006518804,6.21
2.0206453616,6.22
2.04043890798,6.23
2.0600345189,6.24
2.07943417371,6.25
2.09863983198,6.26
2.11765343366,6.27
2.13647689932,6.28
2.15511213033,6.29
2.17356100902,6.3
2.19182539893,6.31
2.20990714494,6.32
2.2278080735,6.33
2.24552999276,6.34
2.26307469283,6.35
2.2804439459,6.36
2.29763950645,6.37
2.31466311138,6.38
2.33151648027,6.39
2.34820131546,6.4
2.36471930231,6.41
2.38107210929,6.42
2.39726138819,6.43
2.41328877431,6.44
2.42915588657,6.45
2.4448643277,6.46
2.46041568443,6.47
2.47581152758,6.48
2.49105341231,6.49
2.50614287818,6.5
2.5210814494,6.51
2.53587063491,6.52
2.55051192856,6.53
2.56500680927,6.54
2.57935674118,6.55
2.59356317377,6.56
2.60762754203,6.57
2.62155126661,6.58
2.63533575394,6.59
2.6489823964,6.6
2.66249257244,6.61
2.67586764672,6.62
2.68910897025,6.63
2.70221788055,6.64
2.71519570174,6.65
2.72804374472,6.66
2.74076330728,6.67
2.7533556742,6.68
2.76582211746,6.69
2.77816389629,6.7
2.79038225732,6.71
2.80247843475,6.72
2.8144536504,6.73
2.8263091139,6.74
2.83804602276,6.75
2.84966556253,6.76
2.86116890691,6.77
2.87255721784,6.78
2.88383164566,6.79
2.8949933292,6.8
2.90604339591,6.81
2.91698296195,6.82
2.92781313233,6.83
2.93853500101,6.84
2.949149651,6.85
2.95965815449,6.86
2.97006157294,6.87
2.98036095721,6.88
2.99055734764,6.89
0.0,6.9
0.04,6.91
0.0796,6.92
0.118804,6.93
0.15761596,6.94
0.1960398004,6.95
0.234079402396,6.96
0.271738608372,6.97
0.309021222288,6.98
0.345931010065,6.99
0.382471699965,7.0
0.418646982965,7.01
0.454460513135,7.02
0.489915908004,7.03
0.525016748924,7.04
0.559766581435,7.05
0.59416891562,7.06
0.628227226464,7.07
0.6619449542,7.08
0.695325504658,7.09
0.728372249611,7.1
0.761088527115,7.11
0.793477641844,7.12
0.825542865425,7.13
0.857287436771,7.14
0.888714562403,7.15
0.919827416779,7.16
0.950629142612,7.17
0.981122851185,7.18
1.01131162267,7.19
1.04119850645,7.2
1.07078652138,7.21
1.10007865617,7.22
1.12907786961,7.23
1.15778709091,7.24
1.18620922,7.25
1.2143471278,7.26
1.24220365652,7.27
1.26978161996,7.28
1.29708380376,7.29
1.32411296572,7.3
1.35087183606,7.31
1.3773631177,7.32
1.40358948653,7.33
1.42955359166,7.34
1.45525805574,7.35
1.48070547519,7.36
1.50589842044,7.37
1.53083943623,7.38
1.55553104187,7.39
1.57997573145,7.4
1.60417597414,7.41
1.62813421439,7.42
1.65185287225,7.43
1.67533434353,7.44
1.69858100009,7.45
1.72159519009,7.46
1.74437923819,7.47
1.76693544581,7.48
1.78926609135,7.49
1.81137343044,7.5
1.83325969613,7.51
1.85492709917,7.52
1.87637782818,7.53
1.8976140499,7.54
1.9186379094,7.55
1.9394515303,7.56
1.960057015,7.57
1.98045644485,7.58
2.0006518804,7.59
2.0206453616,7.6
2.04043890798,7.61
2.0600345189,7.62
2.07943417371,7.63
2.09863983198,7.64
2.11765343366,7.65
2.13647689932,7.66
2.15511213033,7.67
2.17356100902,7.68
2.19182539893,7.69
2.20990714494,7.7
2.2278080735,7.71
2.24552999276,7.72
2.26307469283,7.73
2.2804439459,7.74
2.29763950645,7.75
2.31466311138,7.76
2.33151648027,7.77
2.34820131546,7.78
2.36471930231,7.79
2.38107210929,7.8
2.39726138819,7.81
2.41328877431,7.82
2.42915588657,7.83
2.4448643277,7.84
2.46041568443,7.85
2.47581152758,7.86
2.49105341231,7.87
2.50614287818,7.88
2.5210814494,7.89
2.53587063491,7.9
2.55051192856,7.91
2.56500680927,7.92
2.57935674118,7.93
2.59356317377,7.94
2.60762754203,7.95
2.62155126661,7.96
2.63533575394,7.97
2.6489823964,7.98
2.66249257244,7.99
